Task_Type,Workload_Level,Execution_Time,Resource_Type,Priority_Status,Energy_Consumption,Region,Time_Slot,Priority_Status_Raw,Priority,Region_Raw,Time_Slot_Raw,Predicted_Carbon_Emission,Decision
Fleet Dispatch,Medium,55,VM_Small,High,3.5,Green_Region,Off-Peak,High,High,Green_Region,Off-Peak,2.65,Green_Region_Immediate
Inventory Update,High,56,VM_Medium,Low,3.62,Green_Region,Night,Low,Low,Green_Region,Night,1.786,Green_Region_Immediate
Quality Control,Critical,57,VM_Large,Medium,3.74,Green_Region,Weekend,Medium,Medium,Green_Region,Weekend,2.272,Green_Region_Immediate
Shipment Tracking,Low,58,VM_XLarge,Critical,3.86,ap-east,Peak,Critical,Critical,ap-east,Peak,3.208,Green_Region_Immediate
Supplier Management,Medium,59,Container_Small,High,3.98,ap-east,Off-Peak,High,High,ap-east,Off-Peak,2.794,Green_Region_Immediate
Order Processing,High,60,VM_Micro,Low,4.1,ap-east,Night,Low,Low,ap-east,Night,1.93,Green_Region_Immediate
Fleet Dispatch,Critical,61,VM_Small,Medium,4.22,ap-east,Weekend,Medium,Medium,ap-east,Weekend,2.416,Green_Region_Immediate
Inventory Update,Low,62,VM_Medium,Critical,4.34,ap-south,Peak,Critical,Critical,ap-south,Peak,3.352,Green_Region_Immediate
Quality Control,Medium,63,VM_Large,High,4.46,ap-south,Off-Peak,High,High,ap-south,Off-Peak,2.938,Green_Region_Immediate
Shipment Tracking,High,64,VM_XLarge,Low,4.58,ap-south,Night,Low,Low,ap-south,Night,2.074,Green_Region_Immediate
Supplier Management,Critical,65,Container_Small,Medium,4.7,ap-south,Weekend,Medium,Medium,ap-south,Weekend,2.56,Green_Region_Immediate
Order Processing,Low,66,VM_Micro,Critical,4.82,eu-central,Peak,Critical,Critical,eu-central,Peak,3.496,Green_Region_Immediate
Fleet Dispatch,Medium,67,VM_Small,High,4.94,eu-central,Off-Peak,High,High,eu-central,Off-Peak,3.082,Green_Region_Immediate
Inventory Update,High,68,VM_Medium,Low,5.06,eu-central,Night,Low,Low,eu-central,Night,2.218,Green_Region_Immediate
Quality Control,Critical,69,VM_Large,Medium,5.18,eu-central,Weekend,Medium,Medium,eu-central,Weekend,2.704,Green_Region_Immediate
Shipment Tracking,Low,70,VM_XLarge,Critical,5.3,us-east,Peak,Critical,Critical,us-east,Peak,3.64,Green_Region_Immediate
Supplier Management,Medium,71,Container_Small,High,5.42,us-east,Off-Peak,High,High,us-east,Off-Peak,3.226,Green_Region_Immediate
Order Processing,High,72,VM_Micro,Low,5.54,us-east,Night,Low,Low,us-east,Night,2.362,Green_Region_Immediate
Fleet Dispatch,Critical,73,VM_Small,Medium,5.66,us-east,Weekend,Medium,Medium,us-east,Weekend,2.848,Green_Region_Immediate
Inventory Update,Low,74,VM_Medium,Critical,5.78,us-west,Peak,Critical,Critical,us-west,Peak,3.784,Green_Region_Immediate
Quality Control,Medium,75,VM_Large,High,0.5,us-west,Off-Peak,High,High,us-west,Off-Peak,1.75,Green_Region_Immediate
Shipment Tracking,High,76,VM_XLarge,Low,0.62,us-west,Night,Low,Low,us-west,Night,0.886,Green_Region_Immediate
Supplier Management,Critical,77,Container_Small,Medium,0.74,us-west,Weekend,Medium,Medium,us-west,Weekend,1.372,Green_Region_Immediate
Order Processing,Low,78,VM_Micro,Critical,0.86,Green_Region,Peak,Critical,Critical,Green_Region,Peak,2.308,Schedule_Night_Low_Load
Fleet Dispatch,Medium,79,VM_Small,High,0.98,Green_Region,Off-Peak,High,High,Green_Region,Off-Peak,1.894,Schedule_Night_Low_Load
Inventory Update,High,80,VM_Medium,Low,1.1,Green_Region,Night,Low,Low,Green_Region,Night,1.03,Schedule_Night_Low_Load
Quality Control,Critical,81,VM_Large,Medium,1.22,Green_Region,Weekend,Medium,Medium,Green_Region,Weekend,1.516,Schedule_Night_Low_Load
Shipment Tracking,Low,82,VM_XLarge,Critical,1.34,ap-east,Peak,Critical,Critical,ap-east,Peak,2.452,Schedule_Night_Low_Load
Supplier Management,Medium,83,Container_Small,High,1.46,ap-east,Off-Peak,High,High,ap-east,Off-Peak,2.038,Schedule_Night_Low_Load
Order Processing,High,84,VM_Micro,Low,1.58,ap-east,Night,Low,Low,ap-east,Night,1.174,Schedule_Night_Low_Load
Fleet Dispatch,Critical,85,VM_Small,Medium,1.7,ap-east,Weekend,Medium,Medium,ap-east,Weekend,1.66,Schedule_Night_Low_Load
Inventory Update,Low,86,VM_Medium,Critical,1.82,ap-south,Peak,Critical,Critical,ap-south,Peak,2.596,Schedule_Night_Low_Load
Quality Control,Medium,87,VM_Large,High,1.94,ap-south,Off-Peak,High,High,ap-south,Off-Peak,2.182,Schedule_Night_Low_Load
Shipment Tracking,High,88,VM_XLarge,Low,2.06,ap-south,Night,Low,Low,ap-south,Night,1.318,Schedule_Night_Low_Load
Supplier Management,Critical,89,Container_Small,Medium,2.18,ap-south,Weekend,Medium,Medium,ap-south,Weekend,1.804,Schedule_Night_Low_Load
Order Processing,Low,90,VM_Micro,Critical,2.3,eu-central,Peak,Critical,Critical,eu-central,Peak,2.74,Schedule_Night_Low_Load
Fleet Dispatch,Medium,91,VM_Small,High,2.42,eu-central,Off-Peak,High,High,eu-central,Off-Peak,2.326,Schedule_Night_Low_Load
Inventory Update,High,92,VM_Medium,Low,2.54,eu-central,Night,Low,Low,eu-central,Night,1.462,Schedule_Night_Low_Load
Quality Control,Critical,93,VM_Large,Medium,2.66,eu-central,Weekend,Medium,Medium,eu-central,Weekend,1.948,Schedule_Night_Low_Load
Shipment Tracking,Low,94,VM_XLarge,Critical,2.78,us-east,Peak,Critical,Critical,us-east,Peak,2.884,Schedule_Night_Low_Load
Supplier Management,Medium,95,Container_Small,High,2.9,us-east,Off-Peak,High,High,us-east,Off-Peak,2.47,Schedule_Night_Low_Load
Order Processing,High,96,VM_Micro,Low,3.02,us-east,Night,Low,Low,us-east,Night,1.606,Schedule_Night_Low_Load
Fleet Dispatch,Critical,97,VM_Small,Medium,3.14,us-east,Weekend,Medium,Medium,us-east,Weekend,2.092,Schedule_Night_Low_Load
Inventory Update,Low,98,VM_Medium,Critical,3.26,us-west,Peak,Critical,Critical,us-west,Peak,3.028,Schedule_Night_Low_Load
Quality Control,Medium,99,VM_Large,High,3.38,us-west,Off-Peak,High,High,us-west,Off-Peak,2.614,Schedule_Night_Low_Load
Shipment Tracking,High,100,VM_XLarge,Low,3.5,us-west,Night,Low,Low,us-west,Night,1.75,Schedule_Night_Low_Load
Supplier Management,Critical,101,Container_Small,Medium,3.62,us-west,Weekend,Medium,Medium,us-west,Weekend,2.236,Schedule_Night_Low_Load
Order Processing,Low,102,VM_Micro,Critical,3.74,Green_Region,Peak,Critical,Critical,Green_Region,Peak,3.172,Shift_To_Green_Region_And_Night
Fleet Dispatch,Medium,103,VM_Small,High,3.86,Green_Region,Off-Peak,High,High,Green_Region,Off-Peak,2.758,Shift_To_Green_Region_And_Night
Inventory Update,High,104,VM_Medium,Low,3.98,Green_Region,Night,Low,Low,Green_Region,Night,1.894,Shift_To_Green_Region_And_Night
Quality Control,Critical,105,VM_Large,Medium,4.1,Green_Region,Weekend,Medium,Medium,Green_Region,Weekend,2.38,Shift_To_Green_Region_And_Night
Shipment Tracking,Low,106,VM_XLarge,Critical,4.22,ap-east,Peak,Critical,Critical,ap-east,Peak,3.316,Shift_To_Green_Region_And_Night
Supplier Management,Medium,107,Container_Small,High,4.34,ap-east,Off-Peak,High,High,ap-east,Off-Peak,2.902,Shift_To_Green_Region_And_Night
Order Processing,High,108,VM_Micro,Low,4.46,ap-east,Night,Low,Low,ap-east,Night,2.038,Shift_To_Green_Region_And_Night
Fleet Dispatch,Critical,109,VM_Small,Medium,4.58,ap-east,Weekend,Medium,Medium,ap-east,Weekend,2.524,Shift_To_Green_Region_And_Night
Inventory Update,Low,110,VM_Medium,Critical,4.7,ap-south,Peak,Critical,Critical,ap-south,Peak,3.46,Shift_To_Green_Region_And_Night
Quality Control,Medium,111,VM_Large,High,4.82,ap-south,Off-Peak,High,High,ap-south,Off-Peak,3.046,Shift_To_Green_Region_And_Night
Shipment Tracking,High,112,VM_XLarge,Low,4.94,ap-south,Night,Low,Low,ap-south,Night,2.182,Shift_To_Green_Region_And_Night
Supplier Management,Critical,113,Container_Small,Medium,5.06,ap-south,Weekend,Medium,Medium,ap-south,Weekend,2.668,Shift_To_Green_Region_And_Night
Order Processing,Low,114,VM_Micro,Critical,5.18,eu-central,Peak,Critical,Critical,eu-central,Peak,3.604,Shift_To_Green_Region_And_Night
Fleet Dispatch,Medium,115,VM_Small,High,5.3,eu-central,Off-Peak,High,High,eu-central,Off-Peak,3.19,Shift_To_Green_Region_And_Night
Inventory Update,High,116,VM_Medium,Low,5.42,eu-central,Night,Low,Low,eu-central,Night,2.326,Shift_To_Green_Region_And_Night
Quality Control,Critical,117,VM_Large,Medium,5.54,eu-central,Weekend,Medium,Medium,eu-central,Weekend,2.812,Shift_To_Green_Region_And_Night
Shipment Tracking,Low,118,VM_XLarge,Critical,5.66,us-east,Peak,Critical,Critical,us-east,Peak,3.748,Shift_To_Green_Region_And_Night
Supplier Management,Medium,119,Container_Small,High,5.78,us-east,Off-Peak,High,High,us-east,Off-Peak,3.334,Shift_To_Green_Region_And_Night
Order Processing,High,120,VM_Micro,Low,0.5,us-east,Night,Low,Low,us-east,Night,0.85,Shift_To_Green_Region_And_Night
Fleet Dispatch,Critical,121,VM_Small,Medium,0.62,us-east,Weekend,Medium,Medium,us-east,Weekend,1.336,Shift_To_Green_Region_And_Night
Inventory Update,Low,122,VM_Medium,Critical,0.74,us-west,Peak,Critical,Critical,us-west,Peak,2.272,Shift_To_Green_Region_And_Night
Quality Control,Medium,123,VM_Large,High,0.86,us-west,Off-Peak,High,High,us-west,Off-Peak,1.858,Shift_To_Green_Region_And_Night
Shipment Tracking,High,124,VM_XLarge,Low,0.98,us-west,Night,Low,Low,us-west,Night,0.994,Shift_To_Green_Region_And_Night
Supplier Management,Critical,125,Container_Small,Medium,1.1,us-west,Weekend,Medium,Medium,us-west,Weekend,1.48,Shift_To_Green_Region_And_Night
