Task_Type,Workload_Level,Execution_Time,Resource_Type,Priority_Status,Energy_Consumption,Carbon_Emission,Emission_Category,Region,Time_Slot,Decision
Payment Settlement,Low,11,Container_Micro,Medium,0.09,0.05,Very Low,ap-south,Weekend,Green Region Immediate
Fleet Dispatch,Low,17,VM_Small,High,0.37,0.17,Low,ap-east,Off-Peak,Green Region Immediate
Payment Settlement,Critical,225,VM_XLarge,Medium,4.32,0.25,Low,Green_Region,Weekend,Execute Immediately
Demand Forecasting,Low,26,VM_Small,High,0.5,0.23,Low,ap-east,Off-Peak,Green Region Immediate
Warehouse Allocation,High,120,VM_Large,Medium,3.11,1.37,High,ap-east,Weekend,Shift to Green Region + Night
Quality Control,Low,14,VM_Small,Low,0.31,0.19,Low,ap-south,Weekend,Green Region Immediate
Shipment Tracking,Low,10,VM_Small,Medium,0.24,0.07,Very Low,eu-central,Weekend,Green Region Immediate
Quality Control,Low,15,Container_Micro,Medium,0.13,0.03,Very Low,us-west,Weekend,Green Region Immediate
Inventory Update,Medium,39,Container_Small,Low,0.43,0.12,Very Low,eu-central,Off-Peak,Green Region Immediate
Order Processing,Medium,58,Container_Small,Low,0.81,0.33,Low,us-east,Peak,Green Region Immediate
Warehouse Allocation,Low,15,VM_Small,Critical,0.33,0.04,Very Low,Green_Region,Weekend,Execute Immediately
Supplier Management,Low,29,Container_Micro,Low,0.22,0.13,Very Low,ap-south,Night,Green Region Immediate
Demand Forecasting,High,108,VM_Large,High,2.95,1.46,High,ap-east,Off-Peak,Shift to Green Region + Night
Order Processing,High,119,VM_Large,High,2.94,1.36,High,us-east,Night,Shift to Green Region + Night
Payment Settlement,High,120,VM_Large,Critical,2.87,0.57,Medium,us-west,Weekend,Schedule Night (Low Load)
Order Processing,Critical,150,VM_XLarge,Medium,3.35,0.96,High,eu-central,Weekend,Shift to Green Region + Night
Supplier Management,Low,13,VM_Small,Low,0.3,0.18,Low,ap-south,Off-Peak,Green Region Immediate
Fleet Dispatch,Low,10,Container_Micro,Low,0.12,0.03,Very Low,us-west,Peak,Green Region Immediate
Warehouse Allocation,Critical,174,VM_XLarge,High,3.42,1.92,Very High,ap-south,Night,Schedule Night (Low Load)
Payment Settlement,High,80,Container_Large,High,0.9,0.44,Medium,us-east,Night,Schedule Night (Low Load)
Shipment Tracking,Critical,188,VM_XLarge,Low,4.09,1.06,High,us-west,Weekend,Shift to Green Region + Night
Quality Control,Medium,35,Container_Small,Critical,0.33,0.03,Very Low,Green_Region,Night,Execute Immediately
Warehouse Allocation,High,97,VM_Large,Medium,3.43,1.39,High,us-east,Peak,Shift to Green Region + Night
Fleet Dispatch,Low,19,VM_Small,Medium,0.53,0.19,Low,eu-central,Peak,Green Region Immediate
Quality Control,Low,14,Container_Micro,Critical,0.12,0.05,Very Low,us-east,Off-Peak,Green Region Immediate
Returns Processing,High,72,Container_Large,High,0.91,0.38,Low,us-east,Weekend,Green Region Immediate
Payment Settlement,High,83,VM_Large,Medium,3.01,2.1,Very High,ap-south,Peak,Shift to Green Region + Night
Quality Control,High,63,Container_Large,Critical,0.8,0.52,Medium,ap-south,Weekend,Schedule Night (Low Load)
Demand Forecasting,Critical,148,Bare_Metal,Medium,6.57,0.78,Medium,Green_Region,Peak,Schedule Night (Low Load)
Supplier Management,Medium,45,Container_Small,Medium,0.45,0.16,Low,eu-central,Night,Green Region Immediate
Payment Settlement,Low,12,Container_Micro,High,0.1,0.04,Very Low,us-east,Night,Green Region Immediate
Fleet Dispatch,Critical,290,Bare_Metal,Low,7.89,0.57,Medium,Green_Region,Night,Schedule Night (Low Load)
Demand Forecasting,Critical,206,Bare_Metal,High,6.0,0.49,Medium,Green_Region,Night,Schedule Night (Low Load)
Returns Processing,Critical,269,Bare_Metal,Medium,8.28,3.47,Very High,us-east,Off-Peak,Shift to Green Region + Night
Order Processing,Critical,230,Bare_Metal,Critical,7.16,3.14,Very High,us-east,Weekend,Schedule Night (Low Load)
Supplier Management,High,108,Container_Large,High,1.27,0.11,Very Low,Green_Region,Night,Execute Immediately
Returns Processing,High,82,Container_Large,Low,1.3,0.11,Very Low,Green_Region,Peak,Execute Immediately
Fleet Dispatch,Medium,54,Container_Small,High,0.51,0.04,Very Low,Green_Region,Night,Execute Immediately
Inventory Update,High,75,VM_Large,Low,2.14,0.46,Medium,us-west,Off-Peak,Schedule Night (Low Load)
Order Processing,Critical,261,VM_XLarge,Critical,7.03,0.71,Medium,Green_Region,Peak,Schedule Night (Low Load)
Demand Forecasting,Low,12,VM_Small,Critical,0.27,0.08,Very Low,us-west,Off-Peak,Green Region Immediate
Demand Forecasting,Critical,258,Bare_Metal,High,10.13,4.64,Very High,us-east,Peak,Shift to Green Region + Night
Quality Control,Medium,60,VM_Medium,Critical,1.82,0.66,Medium,eu-central,Peak,Schedule Night (Low Load)
Warehouse Allocation,Medium,33,Container_Small,High,0.31,0.07,Very Low,us-west,Night,Green Region Immediate
Supplier Management,High,107,VM_Large,High,2.68,0.76,Medium,us-west,Night,Schedule Night (Low Load)
Quality Control,Low,17,VM_Small,Low,0.49,0.34,Low,ap-south,Peak,Green Region Immediate
Inventory Update,Critical,182,VM_XLarge,Critical,5.17,1.26,High,us-west,Peak,Shift to Green Region + Night
Returns Processing,Low,28,Container_Micro,Critical,0.24,0.11,Very Low,ap-east,Weekend,Green Region Immediate
Order Processing,Low,15,Container_Micro,Medium,0.12,0.01,Very Low,Green_Region,Night,Execute Immediately
Inventory Update,High,101,VM_Large,High,2.6,0.2,Low,Green_Region,Weekend,Execute Immediately
Quality Control,Medium,46,Container_Small,Medium,0.48,0.21,Low,us-east,Off-Peak,Green Region Immediate
Quality Control,Medium,33,VM_Medium,High,0.71,0.19,Low,eu-central,Weekend,Green Region Immediate
Payment Settlement,High,99,Container_Large,High,1.66,0.94,High,ap-south,Peak,Shift to Green Region + Night
Demand Forecasting,Medium,45,Container_Small,Medium,0.47,0.15,Low,eu-central,Off-Peak,Green Region Immediate
Returns Processing,Medium,47,VM_Medium,Medium,1.0,0.26,Low,eu-central,Night,Green Region Immediate
Warehouse Allocation,Critical,224,VM_XLarge,Medium,4.6,1.62,Very High,eu-central,Weekend,Shift to Green Region + Night
Shipment Tracking,Critical,184,Bare_Metal,Medium,5.58,1.7,Very High,us-west,Night,Shift to Green Region + Night
Fleet Dispatch,Low,26,VM_Small,Low,0.49,0.03,Very Low,Green_Region,Weekend,Execute Immediately
Quality Control,Critical,219,Bare_Metal,Critical,7.17,4.11,Very High,ap-south,Off-Peak,Shift to Green Region + Night
Quality Control,Medium,34,Container_Small,Critical,0.34,0.15,Low,ap-east,Weekend,Green Region Immediate
Supplier Management,High,81,VM_Large,Low,2.02,1.41,High,ap-south,Night,Shift to Green Region + Night
Fleet Dispatch,Medium,59,VM_Medium,Low,1.3,0.42,Medium,eu-central,Weekend,Schedule Night (Low Load)
Quality Control,Medium,32,Container_Small,Medium,0.3,0.03,Very Low,Green_Region,Night,Execute Immediately
Supplier Management,Critical,232,Bare_Metal,Medium,6.66,0.6,Medium,Green_Region,Weekend,Schedule Night (Low Load)
Order Processing,High,82,VM_Large,Low,2.32,1.07,High,ap-east,Off-Peak,Shift to Green Region + Night
Inventory Update,Critical,167,VM_XLarge,Medium,3.81,2.59,Very High,ap-south,Off-Peak,Shift to Green Region + Night
Returns Processing,Low,21,Container_Micro,Low,0.17,0.06,Very Low,eu-central,Weekend,Green Region Immediate
Warehouse Allocation,Medium,36,Container_Small,High,0.36,0.16,Low,us-east,Weekend,Green Region Immediate
Supplier Management,Medium,49,Container_Small,Low,0.46,0.14,Very Low,eu-central,Night,Green Region Immediate
Order Processing,High,99,VM_Large,Medium,2.35,0.23,Low,Green_Region,Night,Execute Immediately
Inventory Update,Critical,125,VM_XLarge,Critical,2.84,1.27,High,us-east,Night,Shift to Green Region + Night
Warehouse Allocation,Low,12,Container_Micro,Low,0.11,0.01,Very Low,Green_Region,Off-Peak,Execute Immediately
Warehouse Allocation,Medium,57,VM_Medium,High,1.22,0.83,High,ap-south,Night,Shift to Green Region + Night
Returns Processing,Critical,231,VM_XLarge,High,4.71,2.07,Very High,us-east,Off-Peak,Shift to Green Region + Night
Returns Processing,High,108,VM_Large,High,3.52,1.14,High,eu-central,Peak,Shift to Green Region + Night
Supplier Management,Critical,289,Bare_Metal,Critical,8.65,2.39,Very High,us-west,Weekend,Shift to Green Region + Night
Fleet Dispatch,Critical,160,VM_XLarge,Medium,4.96,0.42,Medium,Green_Region,Peak,Schedule Night (Low Load)
Order Processing,Medium,51,VM_Medium,Low,1.15,0.08,Very Low,Green_Region,Off-Peak,Execute Immediately
Returns Processing,Medium,36,VM_Medium,Low,0.71,0.47,Medium,ap-south,Night,Schedule Night (Low Load)
Payment Settlement,Critical,280,Bare_Metal,Low,8.02,3.34,Very High,us-east,Weekend,Shift to Green Region + Night
Returns Processing,Critical,262,Bare_Metal,High,7.84,2.35,Very High,eu-central,Weekend,Shift to Green Region + Night
Demand Forecasting,Critical,214,Bare_Metal,High,6.74,3.02,Very High,us-east,Weekend,Shift to Green Region + Night
Inventory Update,Medium,41,Container_Small,Medium,0.37,0.13,Very Low,eu-central,Night,Green Region Immediate
Fleet Dispatch,Critical,175,Bare_Metal,Critical,5.09,2.13,Very High,us-east,Night,Shift to Green Region + Night
Payment Settlement,High,111,Container_Large,Medium,1.74,0.17,Low,Green_Region,Peak,Execute Immediately
Warehouse Allocation,Critical,194,VM_XLarge,Critical,3.77,0.94,High,us-west,Night,Shift to Green Region + Night
Quality Control,Low,27,VM_Small,High,0.7,0.22,Low,eu-central,Peak,Green Region Immediate
Fleet Dispatch,High,93,Container_Large,Medium,1.14,0.32,Low,us-west,Off-Peak,Green Region Immediate
Order Processing,Low,14,Container_Micro,Low,0.11,0.04,Very Low,eu-central,Night,Green Region Immediate
Returns Processing,Medium,36,Container_Small,Low,0.39,0.11,Very Low,eu-central,Off-Peak,Green Region Immediate
Order Processing,Medium,58,Container_Small,Low,0.56,0.05,Very Low,Green_Region,Night,Execute Immediately
Demand Forecasting,Medium,45,Container_Small,Medium,0.45,0.28,Low,ap-south,Weekend,Green Region Immediate
Order Processing,Critical,250,VM_XLarge,Critical,4.38,1.96,Very High,ap-east,Night,Shift to Green Region + Night
Warehouse Allocation,Critical,295,Bare_Metal,Low,7.72,2.13,Very High,eu-central,Night,Shift to Green Region + Night
Warehouse Allocation,Low,13,Container_Micro,High,0.11,0.05,Very Low,us-east,Off-Peak,Shift to Green Region + Night
Quality Control,Critical,215,VM_XLarge,High,4.27,2.96,Very High,ap-south,Weekend,Shift to Green Region + Night
Warehouse Allocation,High,74,VM_Large,High,1.94,0.48,Medium,us-west,Weekend,Schedule Night (Low Load)
Demand Forecasting,Medium,52,Container_Small,High,0.54,0.25,Low,us-east,Night,Green Region Immediate
Demand Forecasting,High,69,Container_Large,High,0.82,0.25,Low,us-west,Night,Green Region Immediate
Demand Forecasting,Low,18,Container_Micro,Critical,0.21,0.06,Very Low,us-west,Peak,Green Region Immediate
Warehouse Allocation,Critical,222,Bare_Metal,Medium,6.47,3.24,Very High,ap-east,Weekend,Shift to Green Region + Night
Warehouse Allocation,High,111,Container_Large,Medium,1.2,0.67,Medium,ap-south,Night,Schedule Night (Low Load)
Demand Forecasting,Medium,33,Container_Small,Critical,0.42,0.18,Low,us-east,Peak,Green Region Immediate
Warehouse Allocation,Critical,294,Bare_Metal,Medium,9.18,3.2,Very High,eu-central,Off-Peak,Shift to Green Region + Night
Supplier Management,Low,27,Container_Micro,Critical,0.22,0.07,Very Low,eu-central,Weekend,Green Region Immediate
Inventory Update,Critical,166,VM_XLarge,Medium,3.65,1.02,High,eu-central,Weekend,Shift to Green Region + Night
Fleet Dispatch,Low,13,VM_Small,Medium,0.28,0.08,Very Low,us-west,Night,Green Region Immediate
Fleet Dispatch,Medium,36,Container_Small,Low,0.49,0.18,Low,eu-central,Peak,Green Region Immediate
Supplier Management,Critical,265,VM_XLarge,Low,4.92,0.48,Medium,Green_Region,Weekend,Schedule Night (Low Load)
Payment Settlement,Medium,36,Container_Small,Low,0.36,0.1,Very Low,us-west,Weekend,Green Region Immediate
Payment Settlement,Low,18,VM_Small,Medium,0.38,0.02,Very Low,Green_Region,Weekend,Execute Immediately
Quality Control,High,108,VM_Large,Critical,3.77,2.1,Very High,ap-south,Peak,Shift to Green Region + Night
Order Processing,Low,30,Container_Micro,Low,0.25,0.1,Very Low,ap-east,Weekend,Green Region Immediate
Shipment Tracking,Low,22,VM_Small,Low,0.43,0.05,Very Low,Green_Region,Weekend,Execute Immediately
Demand Forecasting,Low,14,VM_Small,Low,0.33,0.21,Low,ap-south,Off-Peak,Green Region Immediate
Warehouse Allocation,Low,26,VM_Small,Low,0.69,0.21,Low,us-west,Peak,Green Region Immediate
Payment Settlement,High,75,Container_Large,High,0.9,0.22,Low,us-west,Night,Green Region Immediate
Supplier Management,Medium,59,Container_Small,Critical,0.65,0.17,Low,eu-central,Off-Peak,Green Region Immediate
Returns Processing,Low,21,VM_Small,High,0.42,0.1,Very Low,us-west,Off-Peak,Green Region Immediate
Shipment Tracking,Medium,45,VM_Medium,High,0.9,0.06,Very Low,Green_Region,Night,Execute Immediately
Warehouse Allocation,Medium,46,Container_Small,Low,0.45,0.26,Low,ap-south,Night,Green Region Immediate
Order Processing,Critical,224,Bare_Metal,Low,7.15,0.54,Medium,Green_Region,Off-Peak,Schedule Night (Low Load)
Fleet Dispatch,High,81,Container_Large,High,1.34,0.59,Medium,us-east,Peak,Schedule Night (Low Load)
Warehouse Allocation,Critical,217,VM_XLarge,Low,4.39,1.39,High,us-west,Weekend,Shift to Green Region + Night
Inventory Update,High,89,VM_Large,Low,2.51,1.76,Very High,ap-south,Off-Peak,Shift to Green Region + Night
Shipment Tracking,Critical,247,VM_XLarge,Critical,6.74,3.25,Very High,us-east,Peak,Shift to Green Region + Night
Returns Processing,Medium,32,VM_Medium,High,0.68,0.44,Medium,ap-south,Weekend,Schedule Night (Low Load)
Quality Control,Low,22,VM_Small,Medium,0.42,0.2,Low,us-east,Night,Green Region Immediate
Shipment Tracking,Low,26,Container_Micro,Medium,0.2,0.06,Very Low,us-west,Night,Green Region Immediate
Shipment Tracking,Low,18,Container_Micro,Critical,0.2,0.02,Very Low,Green_Region,Peak,Execute Immediately
Demand Forecasting,Critical,156,VM_XLarge,Medium,3.5,1.69,Very High,us-east,Off-Peak,Shift to Green Region + Night
Fleet Dispatch,Low,29,Container_Micro,Medium,0.24,0.07,Very Low,eu-central,Weekend,Green Region Immediate
Order Processing,High,62,Container_Large,High,0.78,0.2,Low,us-west,Weekend,Green Region Immediate
Returns Processing,Medium,33,VM_Medium,Critical,0.63,0.06,Very Low,Green_Region,Night,Execute Immediately
Payment Settlement,High,117,VM_Large,Medium,3.86,2.65,Very High,ap-south,Peak,Shift to Green Region + Night
Supplier Management,Critical,129,Bare_Metal,High,4.17,1.06,High,eu-central,Night,Shift to Green Region + Night
Order Processing,Medium,33,Container_Small,High,0.45,0.22,Low,us-east,Peak,Green Region Immediate
Demand Forecasting,High,103,VM_Large,High,3.69,1.83,Very High,ap-east,Peak,Shift to Green Region + Night
Order Processing,Critical,172,Bare_Metal,Low,5.69,1.79,Very High,us-west,Off-Peak,Shift to Green Region + Night
Fleet Dispatch,High,116,Container_Large,Medium,1.27,0.29,Low,us-west,Night,Green Region Immediate
Quality Control,Medium,48,VM_Medium,Low,1.02,0.42,Medium,us-east,Night,Schedule Night (Low Load)
Demand Forecasting,Low,11,VM_Small,Critical,0.34,0.07,Very Low,us-west,Peak,Green Region Immediate
Quality Control,Medium,57,VM_Medium,Critical,1.24,0.08,Very Low,Green_Region,Weekend,Execute Immediately
Supplier Management,High,78,VM_Large,Critical,2.04,0.22,Low,Green_Region,Weekend,Execute Immediately
Returns Processing,Low,27,Container_Micro,Medium,0.23,0.01,Very Low,Green_Region,Weekend,Execute Immediately
Shipment Tracking,Medium,56,VM_Medium,Medium,1.7,1.18,High,ap-south,Peak,Shift to Green Region + Night
Returns Processing,High,99,VM_Large,Medium,3.49,1.44,High,us-east,Peak,Shift to Green Region + Night
Fleet Dispatch,Low,18,Container_Micro,Critical,0.21,0.1,Very Low,us-east,Peak,Green Region Immediate
Shipment Tracking,Low,19,VM_Small,Medium,0.37,0.19,Low,ap-east,Weekend,Green Region Immediate
Order Processing,Medium,33,VM_Medium,Low,0.75,0.46,Medium,ap-south,Off-Peak,Schedule Night (Low Load)
Order Processing,Medium,44,Container_Small,High,0.46,0.05,Very Low,Green_Region,Off-Peak,Execute Immediately
Supplier Management,Low,28,Container_Micro,Medium,0.24,0.12,Very Low,ap-east,Off-Peak,Green Region Immediate
Supplier Management,Medium,39,VM_Medium,High,1.08,0.43,Medium,us-east,Peak,Schedule Night (Low Load)
Demand Forecasting,Low,18,Container_Micro,Medium,0.15,0.05,Very Low,eu-central,Weekend,Green Region Immediate
Payment Settlement,Critical,139,Bare_Metal,Critical,4.23,1.98,Very High,us-east,Night,Shift to Green Region + Night
Supplier Management,Critical,280,VM_XLarge,Low,5.35,0.42,Medium,Green_Region,Weekend,Schedule Night (Low Load)
Demand Forecasting,Critical,186,VM_XLarge,Low,4.33,2.96,Very High,ap-south,Off-Peak,Shift to Green Region + Night
Quality Control,Low,16,Container_Micro,Medium,0.13,0.06,Very Low,ap-east,Night,Green Region Immediate
Payment Settlement,Low,13,VM_Small,Critical,0.29,0.11,Very Low,ap-east,Weekend,Green Region Immediate
Shipment Tracking,Low,18,Container_Micro,Low,0.21,0.06,Very Low,us-west,Peak,Green Region Immediate
Fleet Dispatch,High,83,Container_Large,High,1.01,0.31,Low,us-west,Weekend,Green Region Immediate
Returns Processing,Critical,250,VM_XLarge,Low,4.65,2.21,Very High,ap-east,Weekend,Shift to Green Region + Night
Payment Settlement,Critical,185,VM_XLarge,Critical,4.03,1.13,High,us-west,Off-Peak,Shift to Green Region + Night
Supplier Management,High,73,VM_Large,Low,1.72,0.43,Medium,eu-central,Night,Schedule Night (Low Load)
Returns Processing,High,112,Container_Large,Critical,1.31,0.34,Low,us-west,Night,Green Region Immediate
Order Processing,Low,20,Container_Micro,Critical,0.16,0.07,Very Low,us-east,Night,Execute Immediately
Payment Settlement,High,99,Container_Large,Medium,1.62,0.79,Medium,us-east,Peak,Schedule Night (Low Load)
Supplier Management,High,90,Container_Large,High,1.03,0.48,Medium,us-east,Night,Schedule Night (Low Load)
Supplier Management,Low,30,VM_Small,Critical,0.58,0.27,Low,ap-east,Off-Peak,Green Region Immediate
Shipment Tracking,Medium,56,VM_Medium,High,1.21,0.52,Medium,ap-east,Night,Schedule Night (Low Load)
Returns Processing,High,120,Container_Large,Low,1.87,0.73,Medium,ap-east,Peak,Schedule Night (Low Load)
Supplier Management,High,111,VM_Large,High,3.61,1.39,High,ap-east,Peak,Shift to Green Region + Night
Payment Settlement,Medium,45,VM_Medium,Medium,1.02,0.25,Low,us-west,Off-Peak,Green Region Immediate
Supplier Management,Medium,43,Container_Small,High,0.44,0.29,Low,ap-south,Off-Peak,Green Region Immediate
Fleet Dispatch,Low,20,VM_Small,High,0.37,0.24,Low,ap-south,Night,Green Region Immediate
Returns Processing,Critical,179,VM_XLarge,Medium,3.64,1.46,High,us-east,Night,Shift to Green Region + Night
Shipment Tracking,High,81,Container_Large,Critical,1.0,0.48,Medium,us-east,Weekend,Schedule Night (Low Load)
Returns Processing,High,67,Container_Large,Low,0.76,0.19,Low,eu-central,Night,Green Region Immediate
Payment Settlement,Low,15,Container_Micro,Medium,0.12,0.01,Very Low,Green_Region,Night,Execute Immediately
Fleet Dispatch,Low,24,VM_Small,Medium,0.44,0.31,Low,ap-south,Weekend,Green Region Immediate
Quality Control,High,90,Container_Large,Medium,1.17,0.35,Low,eu-central,Off-Peak,Green Region Immediate
Inventory Update,Medium,60,VM_Medium,Critical,1.25,0.4,Medium,us-west,Night,Schedule Night (Low Load)
Inventory Update,Low,17,Container_Micro,Medium,0.13,0.06,Very Low,us-east,Night,Green Region Immediate
Shipment Tracking,Critical,293,Bare_Metal,High,8.18,1.74,Very High,us-west,Weekend,Shift to Green Region + Night
Inventory Update,High,110,Container_Large,Medium,1.84,0.92,High,us-east,Peak,Shift to Green Region + Night
Returns Processing,Low,16,VM_Small,Critical,0.34,0.1,Very Low,us-west,Weekend,Green Region Immediate
Fleet Dispatch,High,96,VM_Large,Medium,2.34,1.01,High,us-east,Night,Shift to Green Region + Night
Returns Processing,Medium,42,Container_Small,Critical,0.55,0.15,Low,eu-central,Peak,Green Region Immediate
Supplier Management,Critical,207,VM_XLarge,Critical,5.64,3.4,Very High,ap-south,Peak,Shift to Green Region + Night
Quality Control,Low,20,Container_Micro,Low,0.18,0.02,Very Low,Green_Region,Weekend,Execute Immediately
Payment Settlement,Critical,179,VM_XLarge,High,4.91,0.48,Medium,Green_Region,Peak,Schedule Night (Low Load)
Quality Control,Critical,144,VM_XLarge,Low,4.64,2.04,Very High,ap-east,Peak,Shift to Green Region + Night
Order Processing,High,63,Container_Large,Critical,0.8,0.22,Low,eu-central,Weekend,Green Region Immediate
Returns Processing,Medium,56,VM_Medium,Critical,1.22,0.84,High,ap-south,Weekend,Shift to Green Region + Night
Supplier Management,Critical,280,Bare_Metal,High,7.51,3.27,Very High,us-east,Night,Shift to Green Region + Night
Quality Control,Critical,264,VM_XLarge,Critical,6.47,2.66,Very High,us-east,Peak,Shift to Green Region + Night
Returns Processing,Low,10,VM_Small,Critical,0.24,0.02,Very Low,Green_Region,Weekend,Execute Immediately
Warehouse Allocation,Critical,233,Bare_Metal,Medium,7.22,3.5,Very High,us-east,Off-Peak,Shift to Green Region + Night
Warehouse Allocation,Low,18,VM_Small,Medium,0.35,0.15,Low,ap-east,Night,Green Region Immediate
Shipment Tracking,Low,18,Container_Micro,Medium,0.14,0.04,Very Low,us-west,Night,Green Region Immediate
Inventory Update,Critical,293,VM_XLarge,High,4.99,1.09,High,us-west,Night,Shift to Green Region + Night
Warehouse Allocation,Critical,132,Bare_Metal,Medium,4.3,0.41,Medium,Green_Region,Weekend,Shift to Green Region + Night
Fleet Dispatch,Low,15,Container_Micro,High,0.17,0.05,Very Low,us-west,Peak,Execute Immediately
Demand Forecasting,High,111,VM_Large,Low,2.59,0.15,Low,Green_Region,Night,Execute Immediately
Warehouse Allocation,Critical,237,VM_XLarge,Critical,4.38,1.04,High,us-west,Night,Shift to Green Region + Night
Returns Processing,Critical,237,VM_XLarge,Low,5.0,1.5,High,us-west,Off-Peak,Shift to Green Region + Night
Order Processing,Low,26,VM_Small,Low,0.69,0.31,Low,ap-east,Peak,Green Region Immediate
Shipment Tracking,Low,19,Container_Micro,Critical,0.17,0.07,Very Low,us-east,Off-Peak,Green Region Immediate
Order Processing,Low,30,VM_Small,Medium,0.56,0.04,Very Low,Green_Region,Off-Peak,Execute Immediately
Order Processing,Low,28,VM_Small,Low,0.5,0.03,Very Low,Green_Region,Weekend,Execute Immediately
Supplier Management,High,65,Container_Large,High,0.85,0.36,Low,ap-east,Weekend,Green Region Immediate
Shipment Tracking,High,84,VM_Large,Critical,2.11,0.66,Medium,us-west,Weekend,Schedule Night (Low Load)
Fleet Dispatch,Critical,275,VM_XLarge,High,6.92,3.07,Very High,ap-east,Peak,Shift to Green Region + Night
Supplier Management,Low,30,Container_Micro,High,0.24,0.06,Very Low,us-west,Night,Green Region Immediate
Shipment Tracking,High,89,VM_Large,High,2.22,0.58,Medium,eu-central,Weekend,Schedule Night (Low Load)
Demand Forecasting,High,78,VM_Large,High,2.13,0.91,High,us-east,Off-Peak,Shift to Green Region + Night
Inventory Update,High,109,VM_Large,High,3.02,0.95,High,us-west,Off-Peak,Shift to Green Region + Night
Returns Processing,High,62,VM_Large,High,1.52,0.72,Medium,ap-east,Night,Schedule Night (Low Load)
Payment Settlement,Low,10,Container_Micro,Medium,0.09,0.03,Very Low,eu-central,Weekend,Green Region Immediate
Quality Control,Critical,293,Bare_Metal,Medium,8.49,4.37,Very High,ap-east,Off-Peak,Shift to Green Region + Night
Fleet Dispatch,Medium,43,Container_Small,Low,0.6,0.26,Low,us-east,Peak,Green Region Immediate
Fleet Dispatch,Critical,295,Bare_Metal,High,9.18,5.78,Very High,ap-south,Off-Peak,Shift to Green Region + Night
Order Processing,Medium,59,Container_Small,High,0.62,0.31,Low,us-east,Weekend,Green Region Immediate
Warehouse Allocation,High,103,Container_Large,Medium,1.28,0.34,Low,eu-central,Off-Peak,Green Region Immediate
Payment Settlement,Low,23,Container_Micro,Low,0.26,0.07,Very Low,eu-central,Peak,Green Region Immediate
Order Processing,Low,13,Container_Micro,Low,0.11,0.04,Very Low,ap-east,Weekend,Green Region Immediate
Quality Control,Low,23,Container_Micro,Medium,0.19,0.08,Very Low,us-east,Weekend,Green Region Immediate
Quality Control,High,67,Container_Large,Low,0.85,0.61,Medium,ap-south,Off-Peak,Schedule Night (Low Load)
Payment Settlement,Medium,39,Container_Small,Critical,0.37,0.18,Low,ap-east,Night,Green Region Immediate
Quality Control,Medium,31,VM_Medium,Critical,0.84,0.24,Low,eu-central,Peak,Green Region Immediate
Returns Processing,Low,18,Container_Micro,High,0.21,0.02,Very Low,Green_Region,Peak,Execute Immediately
Order Processing,Medium,35,Container_Small,Medium,0.48,0.23,Low,ap-east,Peak,Green Region Immediate
Warehouse Allocation,Low,25,VM_Small,Critical,0.45,0.12,Very Low,eu-central,Night,Green Region Immediate
Fleet Dispatch,Low,16,VM_Small,Low,0.34,0.04,Very Low,Green_Region,Off-Peak,Execute Immediately
Returns Processing,High,73,Container_Large,High,1.17,0.43,Medium,eu-central,Peak,Schedule Night (Low Load)
Quality Control,Critical,144,VM_XLarge,Critical,4.6,1.65,Very High,eu-central,Peak,Shift to Green Region + Night
